lambda_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.95,Spike,0.5,0.5000030218,0.005049707141386272,6.043600000005256e-06,True
16.0,0.94,Spike,0.5,0.5000043022,0.006056908292956814,8.604400000056245e-06,True
16.0,0.9299999999999999,Spike,0.5,0.5000057902,0.007063475922986279,1.1580400000044122e-05,True
16.0,0.92,Spike,0.5,0.500006124,0.007265598904186172,1.2247999999992487e-05,True
16.0,0.91,Spike,0.5,0.5000064754,0.007459884982289247,1.2950799999966733e-05,True
16.0,0.9,Spike,0.5,0.5000070638,0.007779655766221134,1.4127600000080065e-05,True
16.0,0.89,Spike,0.5,0.5000078818,0.008209854158710143,1.5763599999996103e-05,True
16.0,0.88,Spike,0.5,0.500008922,0.00873385199980323,1.7844000000044602e-05,True
16.0,0.87,Spike,0.5,0.5000101764,0.009335622357478012,2.035280000001194e-05,True
16.0,0.8600000000000001,Spike,0.5,0.5000116382,0.010000945370741832,2.3276400000105113e-05,True
16.0,0.8500000000000001,Spike,0.5,0.5000124154,0.010338940233809,2.4830799999930875e-05,True
16.0,0.8400000000000001,Spike,0.5,0.5000126930000001,0.010445938716165405,2.538600000012714e-05,True
16.0,0.8300000000000001,Spike,0.5,0.5000132026,0.010643268455499767,2.6405200000079176e-05,True
16.0,0.8200000000000001,Spike,0.5,0.5000139396000001,0.01092573971608424,2.7879200000135995e-05,True
16.0,0.81,Spike,0.5,0.5000148928,0.01128671862276907,2.9785599999998524e-05,True
16.0,0.8,Spike,0.5,0.5000160564,0.011718739793548141,3.211280000003924e-05,True
16.0,0.79,Spike,0.5,0.5000174262,0.01221410145940526,3.485240000000722e-05,True
16.0,0.78,Spike,0.5,0.5000189926,0.012765280715350274,3.79852000000902e-05,True
16.0,0.77,Spike,0.5,0.5000193578000001,0.012887768259179694,3.871560000012764e-05,True
16.0,0.76,Spike,0.5,0.5000196934,0.012990606536441374,3.938679999992978e-05,True
16.0,0.75,Spike,0.5,0.5000202474,0.013162081568902334,4.049479999990169e-05,True
16.0,0.74,Spike,0.5,0.5000210154,0.013399347891220109,4.203079999998138e-05,True
16.0,0.73,Spike,0.5,0.5000219914,0.013698803802582558,4.398280000006416e-05,True
